2003-01-07.100W.1 2003-01-07.100W.2
2003-01-07.158W.4 2003-01-07.158W.8
2003-01-07.159W.0 2003-01-07.159W.1
2003-01-07.159W.2 2003-01-07.159W.4
2003-01-07.159W.4 2003-01-07.159W.7
2003-01-07.159W.6 2003-01-07.159W.10
2003-01-07.15W.0 2003-01-07.15W.1
2003-01-07.15W.2 2003-01-07.15W.4
2003-01-07.160W.1 2003-01-07.160W.2
2003-01-07.161W.0 2003-01-07.161W.1
2003-01-07.161W.2 2003-01-07.161W.4
2003-01-07.161W.4 2003-01-07.161W.7
2003-01-07.161W.6 2003-01-07.161W.10
2003-01-07.162W.0 2003-01-07.162W.1
2003-01-07.162W.2 2003-01-07.162W.4
2003-01-07.163W.1 2003-01-07.163W.2
2003-01-07.163W.3 2003-01-07.163W.5
2003-01-07.163W.5 2003-01-07.163W.8
2003-01-07.164W.0 2003-01-07.164W.1
2003-01-07.164W.2 2003-01-07.164W.4
2003-01-07.165W.0 2003-01-07.165W.1
2003-01-07.165W.2 2003-01-07.165W.4
2003-01-07.165W.4 2003-01-07.165W.7
2003-01-07.165W.6 2003-01-07.165W.10
2003-01-07.166W.1 2003-01-07.166W.2
2003-01-07.166W.3 2003-01-07.166W.5
2003-01-07.166W.5 2003-01-07.166W.8
2003-01-07.167W.0 2003-01-07.167W.1
2003-01-07.167W.2 2003-01-07.167W.4
2003-01-07.167W.4 2003-01-07.167W.7
2003-01-07.168W.0 2003-01-07.168W.1
2003-01-07.168W.2 2003-01-07.168W.4
2003-01-07.168W.4 2003-01-07.168W.7
2003-01-07.168W.6 2003-01-07.168W.10
2003-01-07.168W.8 2003-01-07.168W.13
2003-01-07.169W.0 2003-01-07.169W.2
2003-01-07.169W.2 2003-01-07.169W.5
2003-01-07.169W.4 2003-01-07.169W.8
2003-01-07.16W.1 2003-01-07.16W.2
2003-01-07.16W.3 2003-01-07.16W.5
2003-01-07.16W.5 2003-01-07.16W.8
2003-01-07.16W.7 2003-01-07.16W.11
2003-01-07.170W.1 2003-01-07.170W.2
2003-01-07.171W.0 2003-01-07.171W.1
2003-01-07.171W.2 2003-01-07.171W.4
2003-01-07.171W.4 2003-01-07.171W.7
2003-01-07.172W.1 2003-01-07.172W.2
2003-01-07.172W.3 2003-01-07.172W.5
2003-01-07.172W.5 2003-01-07.172W.8
2003-01-07.172W.5 2003-01-16.740W.8
2003-01-07.175W.0 2003-01-07.175W.2
2003-01-07.175W.2 2003-01-07.175W.5
2003-01-07.175W.4 2003-01-07.175W.8
2003-01-07.176W.1 2003-01-07.176W.2
2003-01-07.176W.3 2003-01-07.176W.5
2003-01-07.177W.0 2003-01-07.177W.1
2003-01-07.177W.2 2003-01-07.177W.4
2003-01-07.178W.1 2003-01-07.178W.2
2003-01-07.179W.0 2003-01-07.179W.1
2003-01-07.179W.2 2003-01-07.179W.4
2003-01-07.179W.4 2003-01-07.179W.7
2003-01-07.180W.0 2003-01-07.180W.1
2003-01-07.180W.2 2003-01-07.180W.4
2003-01-07.180W.4 2003-01-07.180W.7
2003-01-07.180W.6 2003-01-07.180W.10
2003-01-07.180W.8 2003-01-07.180W.13
2003-01-07.181W.1 2003-01-07.181W.2
2003-01-07.181W.3 2003-01-07.181W.5
2003-01-07.181W.5 2003-01-07.181W.8
2003-01-07.182W.0 2003-01-07.182W.1
2003-01-07.182W.2 2003-01-07.182W.4
2003-01-07.182W.4 2003-01-07.182W.7
2003-01-07.182W.6 2003-01-07.182W.10
2003-01-07.183W.1 2003-01-07.183W.2
2003-01-07.183W.3 2003-01-07.183W.5
2003-01-07.183W.5 2003-01-07.183W.8
2003-01-07.184W.0 2003-01-07.184W.1
2003-01-07.184W.2 2003-01-07.184W.4
2003-01-07.184W.4 2003-01-07.184W.7
2003-01-07.184W.6 2003-01-07.184W.10
2003-01-07.185W.0 2003-01-07.185W.1
2003-01-07.185W.2 2003-01-07.185W.4
2003-01-07.185W.4 2003-01-07.185W.7
2003-01-07.185W.6 2003-01-07.185W.10
2003-01-07.186W.0 2003-01-07.186W.1
2003-01-07.186W.2 2003-01-07.186W.4
2003-01-07.186W.4 2003-01-07.186W.7
2003-01-07.186W.6 2003-01-07.186W.10
2003-01-07.186W.8 2003-01-07.186W.13
2003-01-07.187W.0 2003-01-07.187W.1
2003-01-07.188W.0 2003-01-07.188W.1
2003-01-07.188W.2 2003-01-07.188W.4
2003-01-07.188W.4 2003-01-07.188W.7
2003-01-07.188W.6 2003-01-07.188W.10
2003-01-07.189W.0 2003-01-07.189W.1
2003-01-07.189W.2 2003-01-07.189W.4
2003-01-07.189W.4 2003-01-07.189W.7
2003-01-07.189W.6 2003-01-07.189W.10
2003-01-07.18W.0 2003-01-07.18W.1
2003-01-07.18W.2 2003-01-07.18W.4
2003-01-07.18W.4 2003-01-07.18W.7
2003-01-07.190W.0 2003-01-07.190W.1
2003-01-07.191W.0 2003-01-07.191W.1
2003-01-07.191W.2 2003-01-07.191W.4
2003-01-07.192W.0 2003-01-07.192W.1
2003-01-07.192W.2 2003-01-07.192W.4
2003-01-07.192W.4 2003-01-07.192W.7
2003-01-07.193W.0 2003-01-07.193W.1
2003-01-07.194W.0 2003-01-07.194W.1
2003-01-07.194W.2 2003-01-07.194W.4
2003-01-07.194W.4 2003-01-07.194W.7
2003-01-07.195W.0 2003-01-07.195W.1
2003-01-07.195W.2 2003-01-07.195W.4
2003-01-07.195W.4 2003-01-07.195W.7
2003-01-07.195W.6 2003-01-07.195W.10
2003-01-07.196W.1 2003-01-07.196W.2
2003-01-07.196W.3 2003-01-07.196W.5
2003-01-07.197W.1 2003-01-07.197W.2
2003-01-07.197W.3 2003-01-07.197W.5
2003-01-07.197W.5 2003-01-07.197W.8
2003-01-07.198W.1 2003-01-07.198W.2
2003-01-07.198W.3 2003-01-07.198W.5
2003-01-07.198W.5 2003-01-07.198W.8
2003-01-07.198W.7 2003-01-07.198W.11
2003-01-07.199W.1 2003-01-07.199W.2
2003-01-07.199W.3 2003-01-07.199W.5
2003-01-07.19W.1 2003-01-07.19W.2
2003-01-07.19W.3 2003-01-07.19W.5
2003-01-07.1W.0 2003-01-07.1W.2
2003-01-07.1W.2 2003-01-07.1W.5
2003-01-07.200W.0 2003-01-07.200W.1
2003-01-07.200W.2 2003-01-07.200W.4
2003-01-07.200W.4 2003-01-07.200W.7
2003-01-07.200W.6 2003-01-07.200W.10
2003-01-07.201W.0 2003-01-07.201W.1
2003-01-07.201W.2 2003-01-07.201W.4
2003-01-07.201W.4 2003-01-07.201W.7
2003-01-07.202W.0 2003-01-07.202W.1
2003-01-07.202W.2 2003-01-07.202W.4
2003-01-07.202W.4 2003-01-07.202W.7
2003-01-07.203W.0 2003-01-07.203W.1
2003-01-07.203W.2 2003-01-07.203W.4
2003-01-07.204W.0 2003-01-07.204W.1
2003-01-07.204W.2 2003-01-07.204W.4
2003-01-07.204W.4 2003-01-07.204W.7
2003-01-07.204W.6 2003-01-07.204W.10
2003-01-07.204W.8 2003-01-07.204W.13
2003-01-07.205W.0 2003-01-07.205W.1
2003-01-07.205W.2 2003-01-07.205W.4
2003-01-07.207W.0 2003-01-07.207W.1
2003-01-07.207W.2 2003-01-07.207W.4
2003-01-07.208W.0 2003-01-07.208W.1
2003-01-07.208W.2 2003-01-07.208W.4
2003-01-07.208W.4 2003-01-07.208W.7
2003-01-07.208W.6 2003-01-07.208W.10
2003-01-07.209W.0 2003-01-07.209W.1
2003-01-07.209W.2 2003-01-07.209W.4
2003-01-07.209W.4 2003-01-07.209W.7
2003-01-07.20W.0 2003-01-07.20W.1
2003-01-07.20W.2 2003-01-07.20W.4
2003-01-07.20W.4 2003-01-07.20W.7
2003-01-07.210W.0 2003-01-07.210W.1
2003-01-07.210W.2 2003-01-07.210W.4
2003-01-07.211W.0 2003-01-07.211W.1
2003-01-07.211W.2 2003-01-07.211W.4
2003-01-07.212W.0 2003-01-07.212W.1
2003-01-07.212W.2 2003-01-07.212W.4
2003-01-07.21W.1 2003-01-07.21W.2
2003-01-07.21W.3 2003-01-07.21W.5
2003-01-07.21W.5 2003-01-07.21W.8
2003-01-07.22W.1 2003-01-07.22W.2
2003-01-07.22W.3 2003-01-07.22W.5
2003-01-07.22W.5 2003-01-07.22W.8
2003-01-07.23W.0 2003-01-07.23W.1
2003-01-07.25W.0 2003-01-07.25W.1
2003-01-07.25W.2 2003-01-07.25W.4
2003-01-07.26W.0 2003-01-07.26W.1
2003-01-07.26W.2 2003-01-07.26W.4
2003-01-07.27W.0 2003-01-07.27W.1
2003-01-07.27W.2 2003-01-07.27W.4
2003-01-07.28W.0 2003-01-07.28W.1
2003-01-07.28W.2 2003-01-07.28W.4
2003-01-07.28W.4 2003-01-07.28W.7
2003-01-07.2W.0 2003-01-07.2W.1
2003-01-07.30W.0 2003-01-07.30W.1
2003-01-07.30W.10 2003-01-07.30W.16
2003-01-07.30W.12 2003-01-07.30W.19
2003-01-07.30W.2 2003-01-07.30W.4
2003-01-07.30W.4 2003-01-07.30W.7
2003-01-07.30W.6 2003-01-07.30W.10
2003-01-07.30W.8 2003-01-07.30W.13
2003-01-07.31W.1 2003-01-07.31W.2
2003-01-07.32W.0 2003-01-07.32W.2
2003-01-07.32W.2 2003-01-07.32W.6
2003-01-07.33W.1 2003-01-07.33W.2
2003-01-07.33W.3 2003-01-07.33W.6
2003-01-07.34W.0 2003-01-07.34W.1
2003-01-07.34W.2 2003-01-07.34W.4
2003-01-07.34W.4 2003-01-07.34W.7
2003-01-07.35W.0 2003-01-07.35W.1
2003-01-07.36W.0 2003-01-07.36W.1
2003-01-07.36W.2 2003-01-07.36W.4
2003-01-07.36W.4 2003-01-07.36W.7
2003-01-07.37W.0 2003-01-07.37W.1
2003-01-07.38W.0 2003-01-07.38W.1
2003-01-07.39W.0 2003-01-07.39W.1
2003-01-07.39W.2 2003-01-07.39W.4
2003-01-07.3W.1 2003-01-07.3W.2
2003-01-07.3W.3 2003-01-07.3W.5
2003-01-07.40W.0 2003-01-07.40W.2
2003-01-07.40W.2 2003-01-07.40W.5
2003-01-07.40W.4 2003-01-07.40W.9
2003-01-07.42W.0 2003-01-07.42W.1
2003-01-07.42W.2 2003-01-07.42W.4
2003-01-07.43W.0 2003-01-07.43W.1
2003-01-07.43W.2 2003-01-07.43W.4
2003-01-07.44W.0 2003-01-07.44W.1
2003-01-07.44W.2 2003-01-07.44W.4
2003-01-07.44W.4 2003-01-07.44W.7
2003-01-07.44W.6 2003-01-07.44W.10
2003-01-07.45W.0 2003-01-07.45W.1
2003-01-07.45W.2 2003-01-07.45W.4
2003-01-07.45W.4 2003-01-07.45W.7
2003-01-07.46W.0 2003-01-07.46W.1
2003-01-07.46W.2 2003-01-07.46W.4
2003-01-07.46W.4 2003-01-07.46W.7
2003-01-07.47W.0 2003-01-07.47W.1
2003-01-07.47W.2 2003-01-07.47W.4
2003-01-07.47W.4 2003-01-07.47W.7
2003-01-07.47W.6 2003-01-07.47W.10
2003-01-07.48W.0 2003-01-07.48W.1
2003-01-07.48W.2 2003-01-07.48W.4
2003-01-07.48W.4 2003-01-07.48W.7
2003-01-07.48W.6 2003-01-07.48W.10
2003-01-07.49W.1 2003-01-07.49W.2
2003-01-07.49W.3 2003-01-07.49W.5
2003-01-07.49W.5 2003-01-07.49W.8
2003-01-07.4W.0 2003-01-07.4W.1
2003-01-07.4W.2 2003-01-07.4W.4
2003-01-07.4W.4 2003-01-07.4W.7
2003-01-07.50W.0 2003-01-07.50W.1
2003-01-07.50W.2 2003-01-07.50W.4
2003-01-07.50W.4 2003-01-07.50W.7
2003-01-07.50W.6 2003-01-07.50W.10
2003-01-07.51W.0 2003-01-07.51W.1
2003-01-07.51W.2 2003-01-07.51W.4
2003-01-07.51W.4 2003-01-07.51W.7
2003-01-07.51W.6 2003-01-07.51W.10
2003-01-07.52W.0 2003-01-07.52W.1
2003-01-07.52W.2 2003-01-07.52W.4
2003-01-07.52W.4 2003-01-07.52W.7
2003-01-07.53W.0 2003-01-07.53W.1
2003-01-07.53W.2 2003-01-07.53W.4
2003-01-07.53W.4 2003-01-07.53W.7
2003-01-07.53W.6 2003-01-07.53W.10
2003-01-07.54W.0 2003-01-07.54W.1
2003-01-07.54W.2 2003-01-07.54W.4
2003-01-07.54W.4 2003-01-07.54W.7
2003-01-07.54W.6 2003-01-07.54W.10
2003-01-07.55W.1 2003-01-07.55W.2
2003-01-07.55W.3 2003-01-07.55W.5
2003-01-07.55W.5 2003-01-07.55W.9
2003-01-07.55W.7 2003-01-07.55W.12
2003-01-07.56W.1 2003-01-07.56W.2
2003-01-07.56W.3 2003-01-07.56W.5
2003-01-07.56W.5 2003-01-07.56W.8
2003-01-07.57W.1 2003-01-07.57W.2
2003-01-07.57W.3 2003-01-07.57W.5
2003-01-07.57W.5 2003-01-07.57W.9
2003-01-07.58W.0 2003-01-07.58W.1
2003-01-07.58W.2 2003-01-07.58W.4
2003-01-07.58W.4 2003-01-07.58W.8
2003-01-07.58W.6 2003-01-07.58W.11
2003-01-07.59W.0 2003-01-07.59W.1
2003-01-07.59W.2 2003-01-07.59W.4
2003-01-07.60W.1 2003-01-07.60W.2
2003-01-07.63W.0 2003-01-07.63W.2
2003-01-07.63W.2 2003-01-07.63W.5
2003-01-07.63W.4 2003-01-07.63W.8
2003-01-07.63W.6 2003-01-07.63W.12
2003-01-07.64W.0 2003-01-07.64W.2
2003-01-07.65W.0 2003-01-07.65W.1
2003-01-07.65W.2 2003-01-07.65W.4
2003-01-07.65W.4 2003-01-07.65W.7
2003-01-07.66W.0 2003-01-07.66W.1
2003-01-07.66W.2 2003-01-07.66W.4
2003-01-07.66W.4 2003-01-07.66W.7
2003-01-07.67W.1 2003-01-07.67W.2
2003-01-07.67W.3 2003-01-07.67W.5
2003-01-07.67W.5 2003-01-07.67W.8
2003-01-07.68W.0 2003-01-07.68W.1
2003-01-07.68W.2 2003-01-07.68W.5
2003-01-07.68W.4 2003-01-07.68W.8
2003-01-07.68W.6 2003-01-07.68W.11
2003-01-07.68W.8 2003-01-07.68W.14
2003-01-07.69W.0 2003-01-07.69W.1
2003-01-07.69W.2 2003-01-07.69W.5
2003-01-07.69W.4 2003-01-07.69W.8
2003-01-07.69W.6 2003-01-07.69W.11
2003-01-07.69W.8 2003-01-07.69W.14
2003-01-07.6W.1 2003-01-07.6W.2
2003-01-07.6W.3 2003-01-07.6W.5
2003-01-07.70W.0 2003-01-07.70W.1
2003-01-07.70W.2 2003-01-07.70W.4
2003-01-07.70W.4 2003-01-07.70W.7
2003-01-07.70W.6 2003-01-07.70W.10
2003-01-07.71W.0 2003-01-07.71W.2
2003-01-07.71W.2 2003-01-07.71W.5
2003-01-07.71W.4 2003-01-07.71W.8
2003-01-07.72W.0 2003-01-07.72W.1
2003-01-07.72W.2 2003-01-07.72W.5
2003-01-07.72W.4 2003-01-07.72W.8
2003-01-07.73W.1 2003-01-07.73W.2
2003-01-07.73W.3 2003-01-07.73W.5
2003-01-07.73W.5 2003-01-07.73W.8
2003-01-07.74W.0 2003-01-07.74W.1
2003-01-07.74W.2 2003-01-07.74W.4
2003-01-07.74W.4 2003-01-07.74W.7
2003-01-07.74W.6 2003-01-07.74W.10
2003-01-07.74W.8 2003-01-07.74W.14
2003-01-07.76W.0 2003-01-07.76W.1
2003-01-07.77W.0 2003-01-07.77W.1
2003-01-07.77W.2 2003-01-07.77W.4
2003-01-07.77W.4 2003-01-07.77W.7
2003-01-07.77W.6 2003-01-07.77W.10
2003-01-07.78W.1 2003-01-07.78W.2
2003-01-07.78W.3 2003-01-07.78W.5
2003-01-07.78W.5 2003-01-07.78W.8
2003-01-07.78W.7 2003-01-07.78W.11
2003-01-07.79W.1 2003-01-07.79W.2
2003-01-07.79W.3 2003-01-07.79W.5
2003-01-07.79W.5 2003-01-07.79W.8
2003-01-07.7W.0 2003-01-07.7W.1
2003-01-07.7W.2 2003-01-07.7W.4
2003-01-07.7W.4 2003-01-07.7W.7
2003-01-07.80W.1 2003-01-07.80W.2
2003-01-07.80W.3 2003-01-07.80W.6
2003-01-07.84W.0 2003-01-07.84W.1
2003-01-07.84W.2 2003-01-07.84W.4
2003-01-07.85W.1 2003-01-07.85W.2
2003-01-07.85W.3 2003-01-07.85W.5
2003-01-07.86W.1 2003-01-07.86W.2
2003-01-07.86W.3 2003-01-07.86W.5
2003-01-07.86W.5 2003-01-07.86W.8
2003-01-07.87W.0 2003-01-07.87W.1
2003-01-07.87W.2 2003-01-07.87W.4
2003-01-07.87W.4 2003-01-07.87W.7
2003-01-07.88W.0 2003-01-07.88W.1
2003-01-07.88W.2 2003-01-07.88W.4
2003-01-07.89W.0 2003-01-07.89W.2
2003-01-07.8W.1 2003-01-07.8W.2
2003-01-07.90W.0 2003-01-07.90W.1
2003-01-07.90W.2 2003-01-07.90W.4
2003-01-07.90W.4 2003-01-07.90W.7
2003-01-07.91W.0 2003-01-07.91W.1
2003-01-07.91W.2 2003-01-07.91W.4
2003-01-07.91W.4 2003-01-07.91W.7
2003-01-07.92W.1 2003-01-07.92W.2
2003-01-07.92W.3 2003-01-07.92W.5
2003-01-07.92W.5 2003-01-07.92W.8
2003-01-07.93W.1 2003-01-07.93W.2
2003-01-07.93W.3 2003-01-07.93W.5
2003-01-07.93W.5 2003-01-07.93W.8
2003-01-07.93W.7 2003-01-07.93W.11
2003-01-07.94W.0 2003-01-07.94W.1
2003-01-07.94W.2 2003-01-07.94W.4
2003-01-07.94W.4 2003-01-07.94W.8
2003-01-07.95W.0 2003-01-07.95W.1
2003-01-07.95W.2 2003-01-07.95W.4
2003-01-07.95W.4 2003-01-07.95W.7
2003-01-07.96W.0 2003-01-07.96W.1
2003-01-07.96W.2 2003-01-07.96W.5
2003-01-07.97W.0 2003-01-07.97W.1
2003-01-07.97W.2 2003-01-07.97W.4
2003-01-07.98W.0 2003-01-07.98W.1
2003-01-07.98W.2 2003-01-07.98W.4
2003-01-07.98W.4 2003-01-07.98W.7
2003-01-07.98W.6 2003-01-07.98W.10
2003-01-07.99W.0 2003-01-07.99W.1
2003-01-07.99W.2 2003-01-07.99W.4
2003-01-07.99W.4 2003-01-07.99W.7
2003-01-07.99W.6 2003-01-07.99W.10
2003-01-07.9W.0 2003-01-07.9W.1
2003-01-07.9W.2 2003-01-07.9W.4
2003-01-08.215W.0 2003-01-08.215W.2
2003-01-08.215W.2 2003-01-08.215W.5
2003-01-08.215W.4 2003-01-08.215W.8
2003-01-08.215W.6 2003-01-08.215W.11
2003-01-08.216W.0 2003-01-08.216W.1
2003-01-08.216W.2 2003-01-08.216W.4
2003-01-08.216W.2 2003-02-11.678W.9
2003-01-08.216W.4 2003-01-08.216W.8
2003-01-08.217W.0 2003-01-08.217W.2
2003-01-08.217W.2 2003-01-08.217W.5
2003-01-08.217W.4 2003-01-08.217W.9
2003-01-08.217W.6 2003-01-08.217W.12
2003-01-08.218W.0 2003-01-08.218W.1
2003-01-08.218W.2 2003-01-08.218W.4
2003-01-08.218W.4 2003-01-08.218W.7
2003-01-08.218W.6 2003-01-08.218W.10
2003-01-08.218W.8 2003-01-08.218W.13
2003-01-08.219W.1 2003-01-08.219W.2
2003-01-08.219W.3 2003-01-08.219W.5
2003-01-08.219W.5 2003-01-08.219W.8
2003-01-08.220W.0 2003-01-08.220W.1
2003-01-08.220W.2 2003-01-08.220W.4
2003-01-08.220W.4 2003-01-08.220W.7
2003-01-08.220W.6 2003-01-08.220W.10
2003-01-08.220W.8 2003-01-08.220W.14
2003-01-08.221W.1 2003-01-08.221W.2
2003-01-08.221W.3 2003-01-08.221W.5
2003-01-08.221W.5 2003-01-08.221W.8
2003-01-08.221W.7 2003-01-08.221W.11
2003-01-08.221W.9 2003-01-08.221W.14
2003-01-08.222W.1 2003-01-08.222W.2
2003-01-08.222W.3 2003-01-08.222W.5
2003-01-08.222W.5 2003-01-08.222W.8
2003-01-08.222W.7 2003-01-08.222W.11
